id,common_name,vietnamese_name,scientific_name,bird_order,family,description,distribution,diet,conservation_status
406,Red-faced Cormorant,,Phalacrocorax urile,Suliformes - Bộ Chim điên,Phalacrocoracidae - Họ Cốc,"Red-faced Cormorant là một loài chim cò có kích thước trung bình, với chiều dài trung bình khoảng 70 cm. Chim trưởng thành có bộ lông chủ yếu màu đen, đôi khi có màu xanh da trời. Mặt trên và phần trên của cổ có màu đen với một vùng mặt màu đỏ tươi nổi bật, từ đó tên gọi của loài chim được hình thành.","Red-faced Cormorant sinh sống chủ yếu ở vùng Bắc Thái Bình Dương, từ Alaska tới vùng biển phía đông Bắc Nga và Nhật Bản. Chúng thường sống trong các khu vực ven biển, đá ngầm và các đảo xa bờ.","Loài chim này thường săn mồi dưới nước, ăn các loại cá và động vật thủy sinh khác như tôm, cua và giun. Chúng thường di chuyển bằng cách lặn xuống nước để bắt mồi.",Least Concern - Ít quan tâm
407,Red-faced Warbler,,Cardellina rubrifrons,Passeriformes - Bộ Sẻ,Parulidae,"Red-faced Warbler là một loài chim nhỏ, có chiều dài khoảng 12-13 cm. Chim trưởng thành có mặt trên và phần trên của cổ màu đen, đỉnh đầu màu đỏ tươi nổi bật, gáy và mặt dưới cổ có màu trắng. Lưng và cánh màu xanh lá cây. Chim mái giống chim trống nhưng có màu đỏ nhạt hơn và không có đường viền màu đen quanh mặt.","Red-faced Warbler là một loài chim nhỏ, có chiều dài khoảng 12-13 cm. Chim trưởng thành có mặt trên và phần trên của cổ màu đen, đỉnh đầu màu đỏ tươi nổi bật, gáy và mặt dưới cổ có màu trắng. Lưng và cánh màu xanh lá cây. Chim mái giống chim trống nhưng có màu đỏ nhạt hơn và không có đường viền màu đen quanh mặt.","Loài chim này ăn chủ yếu các loại côn trùng, bao gồm con nhện, con kiến và con châu chấu. Chúng thường kiếm ăn trên các cành cây và trong tầng cây thấp của rừng.",Least Concern - Ít quan tâm
408,Red Fody,,Foudia madagascariensis,Passeriformes - Bộ Sẻ,Ploceidae - Họ Rồng rộc,"Red Fody là một loài chim nhỏ với kích thước khoảng 12-14 cm. Chim trống có màu sắc rực rỡ, với lưng, cánh và đuôi màu nâu đỏ và mặt trên đầu, cổ và ngực màu đỏ sáng. Chim mái có màu nâu nhạt với các vết đỏ nhạt trên cổ và ngực. Chim non có màu sắc tương tự chim mái nhưng màu sắc chưa rực rỡ.","Red Fody là loài đặc hữu của Madagascar và được tìm thấy ở khắp các khu vực của đảo này, bao gồm cả các khu vực rừng, đồng cỏ và thảo nguyên.",Loài chim này chủ yếu ăn hạt và một số loại côn trùng. Chúng thường tìm kiếm thức ăn trên mặt đất hoặc trên cây cỏ.,Least Concern - Ít quan tâm
409,Red-headed Duck,Vịt đầu đỏ Bắc Mỹ,Aythya americana,Anseriformes - Bộ Ngỗng,Anatidae - Họ Vịt,"Red-headed Duck là một loài vịt trung bình kích thước, đạt chiều dài khoảng 38-46 cm. Chim trống có màu đầu màu đỏ rực, mặt và ngực trắng, lưng và cánh đen. Chim mái có màu sắc tương tự, nhưng màu đỏ không nổi bật bằng chim trống.","Red-headed Duck có phạm vi phân bố hẹp và được tìm thấy ở các vùng nước nông và đầm lầy ở khu vực miền nam và miền trung của Bắc Mỹ. Chúng phổ biến ở các hồ, ao, và đầm lầy với nước nông và có nền cây cỏ.","Loài chim này chủ yếu ăn tảo, thủy sinh vật, côn trùng, và hạt cỏ. Chúng thường tìm kiếm thức ăn bằng cách lặn xuống nước.",Endangered - Nguy cấp
410,Red-headed Woodpecker,,Melanerpes erythrocephalus,Piciformes - Bộ Gõ kiến,Picidae - Họ Gõ kiến,"Red-headed Woodpecker là một loài gõ kiến có kích thước trung bình, đạt chiều dài khoảng 19-23 cm. Chim trống có màu đầu đỏ rực, mặt và cổ trắng, lưng và cánh đen. Chim mái có màu sắc tương tự, nhưng đầu có màu đen.","Red-headed Woodpecker phân bố rộng rãi ở khu vực phía đông và trung tây của Bắc Mỹ. Chúng sống trong các khu rừng, cây cối và khu vực mở có cây xanh. Chúng thường xuyên xuất hiện ở các công viên, khu vườn và khu vực nông thôn.","Loài chim này ăn chủ yếu là côn trùng, như bọ cánh cứng, giun đất và nhện. Hơn nữa, chúng cũng ăn quả cây, hạt, mật hoa và thực phẩm từ đậu tương.",Vulnerable - Bị đe doạ
411,Red Knot,Dẽ lưng nâu,Calidris canutus,Charadriiformes - Bộ Cun cút,Scolopacidae - Họ Rẽ,"Red Knot là một loài chim cỡ trung bình, có chiều dài khoảng 23-26 cm. Chim trưởng thành vào mùa hè có màu lông hạt dẻ đỏ trên ngực và bụng dưới, còn chim trưởng thành vào mùa đông có lông xám nhạt. Mỏ của chúng dài và cong, có màu đen.","Red Knot có phạm vi phân bố rộng, chúng được tìm thấy trên khắp các bờ biển và vùng đồng cỏ ven biển trên toàn thế giới. Loài chim di cư này thường sinh sản ở miền Bắc Âu và Bắc Á, và trú đông ở khu vực ven biển Nam Mỹ, Úc và châu Phi.","Red Knot chủ yếu ăn các loại giun và sò biển, cùng với các loại động vật phù du khác như cua và con trùng nước ngọt. Chúng cũng ăn hạt và cỏ nhỏ.",Near Threatened - Sắp bị đe doạ
412,Red-legged Honeycreeper,,Cyanerpes cyaneus,Passeriformes - Bộ Sẻ,Thraupidae ,"Red-legged Honeycreeper là một loài chim nhỏ với chiều dài khoảng 11-12 cm. Chim đực có lông màu xanh sáng toàn thân, cánh và đuôi màu đen. Chân chim có màu đỏ nổi bật. Chim cái có màu xám xanh với đốm vàng ở phần cổ và ngực.","Red-legged Honeycreeper phân bố ở khu vực Trung Mỹ và Nam Mỹ, bao gồm từ México, Trung Mỹ, đến Colombia, Venezuela, Ecuador, Peru và Bolivia.","Chế độ ăn của Red-legged Honeycreeper chủ yếu bao gồm hoa, mật hoa và các loại quả như trái cây, hạt và một số loại côn trùng nhỏ.",Least Concern - Ít quan tâm
413,Red-naped Trogon,,Harpactes kasumba,Trogoniformes - Bộ Nuốc,Trogonidae - Họ Nuốc,"Red-naped Trogon là một loài chim có kích thước trung bình, dài khoảng 25-30 cm. Chim đực có màu lưng xanh lá cây sáng, mặt dưới cổ và ngực màu đỏ rực. Chim cái có màu nâu với các sọc và vằn màu trắng trên lưng và đuôi.","Red-naped Trogon phân bố ở khu vực Đông Nam Á, bao gồm các nước như Myanmar, Thái Lan, Lào, Việt Nam, Campuchia, và Indonesia.","Chế độ ăn của Red-naped Trogon chủ yếu bao gồm các loại côn trùng, bọ cạp và một số loại quả nhỏ.",Least Concern - Ít quan tâm
414,Red-shouldered Hawk,,Buteo lineatus,Accipitriformes - Bộ Ưng,Accipitridae - Họ Ưng,"Red-shouldered Hawk là một loài chim săn mồi kích thước trung bình, với chiều dài khoảng 40-50 cm và sải cánh khoảng 90-110 cm. Chim có lưng màu nâu đậm và vai màu đỏ, ngực có sọc đỏ và trắng. Chim cái thường lớn hơn chim đực và có màu sắc tương tự.","Red-shouldered Hawk sinh sống chủ yếu ở Bắc Mỹ, từ miền nam Canada đến Trung Mỹ và tây nam nước Mỹ.","Chế độ ăn của Red-shouldered Hawk chủ yếu bao gồm động vật nhỏ như động vật có xương sống như chuột, ếch, rắn, và côn trùng.",Least Concern - Ít quan tâm
415,Red-tailed Hawk,Ưng đuôi lửa,Buteo jamaicensis,Accipitriformes - Bộ Ưng,Accipitridae - Họ Ưng,"Red-tailed Hawk là một loài chim săn mồi kích thước trung bình đến lớn, với chiều dài khoảng 45-65 cm và sải cánh khoảng 110-145 cm. Chim có màu lưng nâu đậm, đầu và cổ có màu nâu hoặc xám, và đuôi đỏ rực với một dải đen ở cuối đuôi. Chim cái thường lớn hơn chim đực.","Red-tailed Hawk phân bố rộng khắp châu Mỹ, từ miền nam Canada đến Trung Mỹ và phía tây đến các vùng sa mạc của Hoa Kỳ. Chúng thường sống ở các môi trường mở như đồng cỏ, cánh đồng, rừng mở và khu vực nông thôn.","Chế độ ăn của Red-tailed Hawk bao gồm động vật nhỏ như chuột, ếch, rắn, chim nhỏ và các loài động vật khác tương tự kích thước.",Least Concern - Ít quan tâm
416,Red-tailed Laughingthrush,Khướu đuôi đỏ,Trochalopteron milnei,Passeriformes - Bộ Sẻ,Leiothrichidae - Họ Kim oanh,"Red-tailed Laughingthrush là một loài chim thuộc họ Leiothrichidae. Chúng có màu sắc đa dạng với lưng nâu, bụng trắng và đuôi đỏ. Đặc trưng của chúng là một mảng màu đỏ ở đuôi, từ đó xuất phát tên gọi của chúng.","Red-tailed Laughingthrush được tìm thấy chủ yếu ở các khu vực núi non ở Đông Nam Á, bao gồm Việt Nam, Lào và Campuchia.","Chúng ăn chủ yếu các loại côn trùng, sâu bọ và các loại quả, hạt.",Least Concern - Ít quan tâm
417,Red-winged Blackbird,,Agelaius phoeniceus,Passeriformes - Bộ Sẻ,Icteridae,"Red-winged Blackbird là một loài chim thuộc họ Icteridae, có kích thước trung bình với chiều dài khoảng 20-25 cm. Chim đực có lông màu đen với một mảng đỏ ở vai và cánh, trong khi chim cái có lông màu nâu đen với các vệt và đốm nâu trên lưng và cánh. Chim trống có tiếng kêu đặc trưng là âm thanh rít rít hoặc con mồi con mồi.","Red-winged Blackbird phân bố rộng khắp tại Bắc Mỹ, từ miền nam Canada xuống đến miền bắc Mỹ và Trung Mỹ. Chúng thường sống trong các vùng cạn lầy, cánh đồng, cánh đồng lúa và bãi cỏ ngập nước.","Chủ yếu ăn hạt, như hạt lúa mì, hạt cỏ và hạt cỏ khác. Loài chim này cũng ăn côn trùng, giun đất và một số loại thức ăn thực vật khác.",Least Concern - Ít quan tâm
418,Red-whiskered Bulbul,Chào mào,Pycnonotus jocosus,Passeriformes - Bộ Sẻ,Pycnonotidae - Họ Chào mào,"Red-whiskered Bulbul là một loài chim thuộc họ Pycnonotidae. Chúng có kích thước trung bình, với mào trên đầu màu đen và một đường viền đỏ dọc trên các ria mép. Lưng chúng thường màu nâu xám và bụng màu trắng.","Red-whiskered Bulbul phân bố rộng rãi trong khu vực Đông Á, bao gồm Ấn Độ, Trung Quốc, Đông Nam Á và Đài Loan. Chúng thường sinh sống trong các khu vườn, công viên và khu dân cư.","Chế độ ăn của Red-whiskered Bulbul bao gồm các loại trái cây, quả mọng, côn trùng và mật hoa.",Least Concern - Ít quan tâm
419,Regent Bowerbird,,Sericulus chrysocephalus,Passeriformes - Bộ Sẻ,Ptilonorhynchidae - Họ Chim tổ lều,"Regent Bowerbird là một loài chim bowerbird có kích thước trung bình. Chim đực có màu sắc rực rỡ với đầu và cổ màu đen, lưng màu đen xám và ngực màu vàng sáng. Chim cái có màu nâu đơn sắc và ít nổi bật hơn so với chim đực.","Regent Bowerbird sinh sống ở miền đông và đông bắc Australia, trong các khu rừng nhiệt đới và cận nhiệt đới.","Chế độ ăn của Regent Bowerbird bao gồm hạt, trái cây, mật hoa và côn trùng.",Least Concern - Ít quan tâm
420,Ring-necked Pheasant,Trĩ đỏ,Phasianus colchicus,Galliformes - Bộ Gà,Phasianidae - Họ Trĩ,"Ring-necked Pheasant là một loài chim gà lớn có kích thước trung bình. Chim đực có lông màu sặc sỡ với lưng và cánh màu xám đồng, một vòng cổ màu xanh lá cây và một vạch cổ màu đen. Chim cái có lông nâu nhạt và không có vạch cổ.","Ring-necked Pheasant có nguồn gốc từ châu Á, nhưng đã được giới thiệu và phân bố rộng rãi trên khắp thế giới, bao gồm Bắc Mỹ, Châu Âu và Úc.","Chế độ ăn của Ring-necked Pheasant bao gồm hạt, hạt cỏ, côn trùng và thực vật nhỏ.",Least Concern - Ít quan tâm
421,Roadrunner,Chi Chẹo đất,Geococcyx californianus,Cuculiformes - Bộ Cu cu,Cuculidae - Họ Cu Cu,"Roadrunner là một loài chim có kích thước trung bình, có hình dạng thon dài và chân dài. Chúng có bộ lông màu nâu đồng và có mào trên đầu. Đặc điểm nổi bật của Roadrunner là chân dài, đuôi dài và mỏ hình gai.","Roadrunner được tìm thấy ở miền nam Hoa Kỳ và miền bắc Mexico. Chúng sống trong các môi trường thảo nguyên, sa mạc và khu vực có cây bụi rậm.","Roadrunner là loài chim đa dạng thức ăn, chúng ăn hạt, côn trùng, động vật nhỏ và thậm chí cả rắn và thằn lằn.",Least Concern - Ít quan tâm
422,Rock Dove,Gầm ghì đá,Columba livia domestica,Columbiformes - Bộ Bồ câu,Columbidae - Họ Bồ câu,"Rock Dove là một loài chim có kích thước trung bình, với bộ lông đa dạng màu sắc. Phần lưng thường có màu xám và phần dưới thân thường có màu trắng. Mỏ của chúng có hình dạng nhỏ và có một dải màu xanh ở gốc.","Rock Dove có nguồn gốc từ khu vực Địa Trung Hải, nhưng đã được du nhập và phân bố rộng rãi trên khắp thế giới. Chúng sống chủ yếu trong môi trường thành thị và thường thấy ở các khu vực gần con người.","Rock Dove ăn hạt, hạt giống, các loại thực phẩm từ nhà bếp và còn phụ thuộc vào các nguồn thức ăn dễ tìm thấy trong môi trường thành thị.",Least Concern - Ít quan tâm
423,Rose-breasted Cockatoo,Vẹt mào hồng,Eolophus roseicapilla,Psittaciformes - Bộ Vẹt,Cacatuidae - Họ Vẹt mào,"Rose-breasted Cockatoo là một loài chim có kích thước trung bình, với bộ lông chủ yếu màu hồng và màu xám. Chim đực có mào lông hồng tươi trên đầu, trong khi chim cái có mào lông xám nhạt. Chúng có mỏ lớn và mạnh, cánh sắc nhọn và chân có móng mạnh.","Rose-breasted Cockatoo được tìm thấy chủ yếu ở vùng Úc và là một loài chim phổ biến trên khắp châu lục này. Chúng thích sống trong các khu vực cạn và các khu vực mở trống, bao gồm các khu vực thành thị.","Loài chim này ăn hạt, quả, hạt giống và các loại cỏ. Chúng cũng có thể cắn vào cây để lấy mủ cây làm thức ăn.",Least Concern - Ít quan tâm
424,Rose-breasted Grosbeak,,Pheucticus ludovicianus,Passeriformes - Bộ Sẻ,Cardinalidae - Họ Hồng tước,"Rose-breasted Grosbeak là một loài chim có kích thước trung bình với màu lông đặc trưng. Chim đực có lưng màu đen, cổ, ngực và bụng màu hồng tươi với một mảng đen ở ngực. Chim cái có lưng màu nâu xám và ngực màu nâu nhạt với vằn đen. Cả hai đều có mỏ dày và lớn.","Rose-breasted Grosbeak sinh sản ở miền đông và miền trung Bắc Mỹ và di cư xuống miền nam Mỹ và Trung Mỹ trong mùa đông. Chúng thích sống trong rừng rậm, khu vườn và các vùng cây bụi.","Loài chim này ăn chủ yếu là hạt, côn trùng và trái cây. Chúng cũng có thể ăn một số loài cây và hoa nhằm bổ sung dinh dưỡng.",Least Concern - Ít quan tâm
425,Roseate Spoonbill,Cò thìa hồng,Platalea ajaja,Pelecaniformes - Bộ Bồ nông,Threskiornithidae - Họ chim diệc,"Roseate Spoonbill là một loài chim lớn với màu lông đặc trưng. Chúng có thân màu trắng hồng, mỏ dẹp và cong về phía trên thành một cái thìa, chân dài màu đen và cánh rộng. Chim non có màu lông nâu sẫm và mỏ màu xám.","Roseate Spoonbill phân bố chủ yếu ở vùng nhiệt đới và cận nhiệt đới của châu Mỹ, bao gồm các khu vực như Florida, Texas, Mexico, Trung Mỹ và miền nam Mỹ. Chúng thích sống gần các khu vực nước ngọt như đầm lầy, hồ, và vùng đồng cỏ ngập nước.","Loài chim này ăn chủ yếu là động vật phù du như cá, giun, ốc, cua và các loài côn trùng. Chúng sử dụng mỏ thìa của mình để lọc mồi từ nước hoặc đào lấy mồi từ cát.",Least Concern - Ít quan tâm
426,Rosy-faced Lovebird,,Agapornis roseicollis,Psittaciformes - Bộ Vẹt,Psittaculidae - Họ Vẹt,"Rosy-faced Lovebird là một loài chim nhỏ kích thước khoảng 15-17 cm. Chúng có màu lông đa dạng với phần lớn màu xanh lục ở lưng và đuôi, màu hồng ở cổ và mặt, và màu cam ở trán. Đôi mắt của chúng có màu nâu đen và mỏ màu đỏ.","Rosy-faced Lovebird có nguồn gốc từ khu vực vùng Sahara ở châu Phi. Hiện nay, chúng đã được giới thiệu và trở thành loài định cư ở nhiều khu vực khác nhau trên thế giới như các quốc gia Trung Đông, châu Mỹ và Úc.","Loài chim này ăn chủ yếu các loại hạt, trái cây và cỏ. Chúng cũng có thể ăn cành cây để lấy chất xơ.",Least Concern - Ít quan tâm
427,Rough-legged Buzzard,,Buteo lagopus,Accipitriformes - Bộ Ưng,Accipitridae - Họ Ưng,"Rough-legged Buzzard là một loài chim ưng trung bình kích thước, có chiều dài từ 48-61 cm và sải cánh khoảng 125-145 cm. Chúng có màu lông đa dạng nhưng chủ yếu có lông nâu đậm ở lưng và lông trắng với mảng màu đen ở cánh và đuôi. Đặc điểm nổi bật là chân có lông dày và cổ chân có vằn trắng.","Rough-legged Buzzard sinh sống chủ yếu ở khu vực Bắc Cực và các vùng ôn đới của Bắc Mỹ, Châu Âu và Á-Âu. Chúng thường di cư xuống các vùng ôn đới trong mùa đông, như vùng Bắc Mỹ, Trung Quốc và Nhật Bản.","Loài chim này chủ yếu ăn các loại động vật nhỏ như chuột, thỏ và chim nhỏ. Chúng cũng có thể ăn côn trùng và các loại cá.",Least Concern - Ít quan tâm
428,Royal Flycatcher,,Onychorhynchus coronatus,Passeriformes - Bộ Sẻ,Tityridae,"Royal Flycatcher là một loài chim có kích thước trung bình, với chiều dài khoảng 16-18 cm. Đặc điểm nổi bật của loài chim này là mào dài và rực rỡ trên đỉnh đầu, có thể được kéo dài và mở rộng khi chim cảm thấy phấn khích hoặc đe dọa. Lông của Royal Flycatcher thường có màu đỏ tươi hoặc cam, với một vài mảng màu xanh lá cây.","Royal Flycatcher được tìm thấy chủ yếu ở khu vực Trung và Nam Mỹ, bao gồm rừng nhiệt đới và rừng mưa ở các quốc gia như México, Belize, Costa Rica, Panama, Colombia, Ecuador, Peru và Brazil.","Chúng chủ yếu ăn côn trùng, bao gồm bướm, ruồi, kiến và các loại côn trùng nhỏ khác. Chúng thường bám vào nhánh cây và chờ đợi côn trùng bay gần để bắt mồi.",Least Concern - Ít quan tâm
429,Ruby-crowned Kinglet,,Regulus calendula,Passeriformes - Bộ Sẻ,Regulidae,"Ruby-crowned Kinglet là một loài chim nhỏ, có chiều dài khoảng 9-11 cm. Chim đực có lông đầu màu xám nhạt và có một vòng lông màu đỏ rực ẩn bên trong, thường chỉ hiển thị khi chim hứng thú hoặc đe dọa. Chim cái có lông đầu màu xám nhạt và không có vòng lông đỏ. Lưng và cánh của cả chim đực và chim cái có màu xanh lá cây nhạt.","Ruby-crowned Kinglet phân bố rộng khắp Bắc Mỹ, từ Alaska và Canada xuống đến Trung Mỹ và tây bắc Mexico. Chúng sinh sống trong các khu rừng nhiệt đới, rừng thông, rừng sồi và các vùng cây bụi.","Chúng ăn chủ yếu là côn trùng, bao gồm côn trùng bay, nhện, sâu bướm và trùng giun. Chúng thường di chuyển nhanh và linh hoạt trong lớp lá cây để tìm kiếm mồi.",Least Concern - Ít quan tâm
430,Ruby-throated Hummingbird,Chim ruồi họng đỏ,Archilochus colubris,Apodiformes - Bộ Yến,Trochilidae - Họ Chim ruồi,"Ruby-throated Hummingbird là một loài chim có kích thước nhỏ, dài khoảng 7-9 cm. Chim đực có lông đen phía trên và lông dưới màu trắng, có một đốm màu đỏ rực ở cổ họng. Chim cái có lông xám phía trên và lông dưới màu trắng.","Ruby-throated Hummingbird sinh sống chủ yếu ở miền đông Bắc Mỹ, từ miền nam Canada đến Trung Mỹ. Chúng di cư hàng năm, với mùa hè ở miền bắc và mùa đông ở miền nam.","Chúng ăn chủ yếu là mật hoa từ các loài hoa như lưỡi kiến, thùa gai và cúc họa mi. Chúng cũng săn bắt côn trùng bay nhỏ làm nguồn cung cấp chất đạm.",Least Concern - Ít quan tâm
431,Ruddy Shelduck,Vịt vàng,Tadorna ferruginea,Anseriformes - Bộ Ngỗng,Anatidae - Họ Vịt,"Ruddy Shelduck là một loài vịt kích thước lớn, có chiều dài khoảng 58-70 cm. Chim đực có màu lông đỏ gạch trên ngực, đầu và cổ, với phần lưng, cánh và đuôi màu xám. Chim cái có lông nâu sẫm với một sọc mắt trắng nổi bật.","Ruddy Shelduck phân bố rộng khắp từ khu vực Trung Đông, Trung Á, Nam Á và Đông Á. Chúng thường sinh sống ở các hồ, ao, đầm lầy và đồng cỏ trong vùng đồng cỏ và sa mạc.","Chúng ăn chủ yếu là thực vật như cỏ, lá, hạt, củ và rễ, cũng như các loại côn trùng, ấu trùng và động vật thủy sinh nhỏ.",Least Concern - Ít quan tâm
432,Ruddy Kingfisher,Sả hung,Halcyon coromanda,Coraciiformes - Bộ Sả,Alcedinidae - Họ Bồng chanh,"Chim Kingfisher màu sắc đặc trưng với lưng màu xanh dương và ngực màu cam. Có mỏ dài, mảnh mai và chân ngắn. Chim cái thường có màu sắc tương tự như chim đực, nhưng ít sáng hơn.","Loài chim này phân bố rộng khắp khu vực châu Á, bao gồm các quốc gia như Trung Quốc, Hàn Quốc, Nhật Bản, Đài Loan và Đông Nam Á.","Chủ yếu ăn cá và động vật thủy sinh như tôm, ếch và giun đất.",Least Concern - Ít quan tâm
433,Rufous Kingfisher,Sả cổ hung,Actenoides concretus,Coraciiformes - Bộ Sả,Alcedinidae - Họ Bồng chanh,"Rufous Kingfisher có màu lông chủ dominante là màu hung đỏ hoặc cam đất trên lưng, cổ và mặt sau tai. Có mỏ dài và mảnh mai. Chim cái có màu lông tương tự như chim đực, nhưng ít sáng hơn.","Loài chim này phân bố ở khu vực Đông Nam Á, bao gồm Indonesia, Malaysia, Brunei và các đảo lân cận.","Chủ yếu ăn động vật nhỏ như côn trùng, động vật thủy sinh nhỏ, giun đất và ếch.",Least Concern - Ít quan tâm
434,Rufous Treepie,Choàng choạc hung,Dendrocitta vagabunda,Passeriformes - Bộ Sẻ,Corvidae - Họ Quạ,"Rufous Treepie là một loài chim có kích thước trung bình, với lông chủ dominantly nâu đỏ và một mảng màu trắng trên cánh. Chúng có đuôi dài và mỏ đen. Chim đực và chim mái có vẻ ngoài tương đồng nhau.","Rufous Treepie phân bố rộng rãi ở Ấn Độ, Nepal, Sri Lanka và các khu vực khác trong khu vực Đông Nam Á.","Chúng ăn chủ yếu các loại côn trùng, như con kiến, sâu bướm và các loại động vật nhỏ khác. Ngoài ra, chúng cũng ăn trái cây và một số hạt.",Least Concern - Ít quan tâm
435,Rufous Motmot,,Baryphthengus martii,Coraciiformes - Bộ Sả,Momotidae,"Chim Rufous Motmot có bộ lông đặc trưng với màu lông rừng đỏ, xanh và xanh dương. Đuôi dài và có một đầu vuốt giống cái cây. Kích thước trung bình, khoảng 35-40 cm chiều dài.","Loài chim này được tìm thấy chủ yếu ở Trung Mỹ và Nam Mỹ, bao gồm các nước như Costa Rica, Panama, Colombia, Ecuador và Peru. Chúng thường sinh sống trong rừng và khu vực có cây cối.","Rufous Motmot ăn chủ yếu các loài côn trùng như chuồn chuồn, kiến, bọ cánh cứng và một số loại động vật nhỏ. Chúng cũng ăn trái cây và quả mọng như quả mâm xôi và quả đào.",Least Concern - Ít quan tâm
436,Sand Martin,Nhạn nâu xám,Riparia riparia,Passeriformes - Bộ Sẻ,Hirundinidae - Họ Én,"Sand Martin là một loài chim nhỏ trong họ chim én. Chúng có kích thước khoảng 12-13 cm, với lưng màu nâu xám và bụng màu trắng. Chúng có cánh dài và hẹp, giúp chúng bay nhanh và linh hoạt trong việc bắt côn trùng.","Sand Martin phân bố rộng rãi trên toàn thế giới. Chúng thường sinh sống gần các hồ, sông, ao và bãi cát nơi chúng xây tổ trong các hang đất dọc theo bờ.","Sand Martin chủ yếu ăn côn trùng bay như muỗi, ruồi, châu chấu và các loại côn trùng nhỏ khác.",Least Concern - Ít quan tâm
437,Sandhill Crane,Sếu đồi cát,Antigone canadensis,Gruiformes - Bộ Sếu,Gruidae - Họ Sếu,"Sandhill Crane là một loài chim lớn, có chiều cao khoảng 100-150 cm và cánh mở rộng từ 180-240 cm. Chúng có màu xám với một mảng đỏ trên đầu và cổ. Chim trưởng thành có hình dạng và màu sắc tương tự nhau, với sự khác biệt nhỏ giữa các giới tính.","Sandhill Crane có phạm vi phân bố rộng trên Bắc Mỹ, Châu Âu và Châu Á. Chúng thường sinh sống ở các khu vực đồng cỏ, cánh đồng, đồng cỏ ngập nước và đồng cỏ ven sông.","Loài chim này chủ yếu ăn các loại cỏ, hạt, mạt và côn trùng. Chúng thường kiếm ăn bằng cách đục trong đất bằng mỏ dài của mình.",Least Concern - Ít quan tâm
438,Satyr Tragopan,Gà lôi Satyr,Tragopan satyra,Galliformes - Bộ Gà,Phasianidae - Họ Trĩ,"Satyr Tragopan là một loài chim thuộc họ Tragopan, có kích thước trung bình với chiều dài khoảng 65-70 cm. Chim đực có màu sắc rực rỡ với lông màu đỏ cam, đầu và cổ có vằn màu đen và trên đầu có lông màu xanh lá cây. Chim cái có lông màu nâu nhạt với các đốm màu đen và trắng trên cơ thể.","Satyr Tragopan được tìm thấy ở vùng núi cao của khu vực Himalaya, bao gồm Bhutan, Trung Quốc, Ấn Độ, Myanmar, Nepal và Pakistan. Chúng thích nghi sống trong rừng núi và khu rừng thông đới.","Chế độ ăn của Satyr Tragopan bao gồm các loại lá, hoa, quả, mạt, côn trùng và sâu bọ nhỏ.",Vulnerable - Bị đe doạ
439,Says Phoebe,,Sayornis saya,Passeriformes - Bộ Sẻ,Tyrannidae - Họ Đớp ruồi bạo chúa,"Says Phoebe là một loài chim có kích thước trung bình với chiều dài khoảng 16-18 cm. Chim có màu sắc tổng thể màu nâu đồng, với bụng và ngực màu trắng. Chim trống có một cái đuôi dài và trắng, trong khi chim cái có một cái đuôi ngắn hơn và không có màu trắng.","Says Phoebe sinh sống trong khu vực Bắc Mỹ, bao gồm các tiểu bang Tây Hoa Kỳ và Mexico. Chúng thường được tìm thấy ở các môi trường mở như cánh đồng, thảo nguyên, sông suối, và khu vực đồng cỏ.","Chế độ ăn của Says Phoebe chủ yếu bao gồm côn trùng và các loại động vật nhỏ khác như nhện, chuột chù, và côn trùng bay.",Least Concern - Ít quan tâm
440,Scarlet-crowned Fruit Dove,,Ptilinopus porphyraceus,Columbiformes - Bộ Bồ câu,Columbidae - Họ Bồ câu,"Scarlet-crowned Fruit Dove là một loài chim có kích thước nhỏ, khoảng 22-24 cm. Chim trống có màu sắc đặc trưng với đầu và cổ màu đỏ tươi, ngực màu xanh lá cây sáng và bụng màu trắng. Chim cái có màu xanh nhạt trên đầu và cổ.","Scarlet-crowned Fruit Dove phân bố ở khu vực Đông Nam Á, bao gồm quần đảo Philippines, Borneo, Sumatra và các đảo lân cận. Chúng thường được tìm thấy trong rừng nhiệt đới và rừng thưa.","Loài chim này chủ yếu ăn trái cây và hạt. Chúng thích ăn các loại trái cây chín như quả mận, quả mít và quả dứa.",Least Concern - Ít quan tâm
441,Scarlet-faced Liocichla,Khướu má đỏ,Liocichla ripponi,Passeriformes - Bộ Sẻ,Leiothrichidae - Họ Kim oanh,"Scarlet-faced Liocichla là một loài chim có kích thước trung bình, dài khoảng 22-24 cm. Chim trống có đầu và cổ màu đen, mặt mày và vùng cổ mặt mày màu đỏ tươi. Lưng và cánh màu nâu xám, bụng màu vàng nhạt và có một vạch màu trắng trên cánh. Chim cái có màu sắc tương tự nhưng mờ hơn.","Scarlet-faced Liocichla phân bố ở vùng núi cao của Đông Nam Á, bao gồm Bhutan, Nepal, Myanma, và miền bắc Việt Nam. Chúng thích sống trong rừng núi ẩm ướt và khu rừng rậm.","Loài chim này chủ yếu ăn côn trùng, bao gồm côn trùng nhỏ, con giun và nhện. Chúng cũng có thể ăn một số loại trái cây và mật hoa.",Least Concern - Ít quan tâm
